日期,收盘,开盘,高,低,交易量,涨跌幅
2005/7/19,"1,590.49","1,580.25","1,590.76","1,577.00",,1.30%
2005/7/18,"1,570.09","1,573.62","1,578.12","1,570.02",,-0.49%
2005/7/15,"1,577.82","1,577.27","1,582.40","1,568.82",,0.28%
2005/7/14,"1,573.44","1,570.31","1,577.48","1,563.93",,1.02%
2005/7/13,"1,557.62","1,555.24","1,559.37","1,549.81",,0.13%
2005/7/12,"1,555.59","1,546.52","1,560.15","1,543.14",,0.51%
2005/7/11,"1,547.66","1,536.45","1,547.98","1,535.07",,0.94%
2005/7/8,"1,533.27","1,505.53","1,534.29","1,502.20",,1.96%
2005/7/7,"1,503.78","1,484.92","1,505.30","1,484.18",,0.38%
2005/7/6,"1,498.05","1,503.48","1,512.91","1,497.11",,-0.55%
2005/7/5,"1,506.35","1,485.96","1,509.19","1,485.96",,1.06%
2005/7/1,"1,490.53","1,497.02","1,501.95","1,489.74",,-0.20%
2005/6/30,"1,493.52","1,507.02","1,510.21","1,492.94",,-0.70%
2005/6/29,"1,504.11","1,511.95","1,512.77","1,501.72",,-0.30%
2005/6/28,"1,508.61","1,500.65","1,512.64","1,498.48",,0.99%
2005/6/27,"1,493.75","1,497.29","1,503.79","1,490.02",,-0.43%
2005/6/24,"1,500.18","1,516.84","1,518.01","1,500.18",,-1.04%
2005/6/23,"1,515.95","1,537.64","1,549.00","1,515.79",,-1.20%
2005/6/22,"1,534.36","1,542.13","1,545.54","1,527.93",,-0.14%
2005/6/21,"1,536.48","1,535.48","1,542.73","1,530.91",,-0.05%
2005/6/20,"1,537.31","1,529.65","1,545.52","1,526.06",,-0.05%
2005/6/17,"1,538.13","1,550.63","1,550.63","1,532.56",,0.05%
2005/6/16,"1,537.42","1,531.02","1,540.52","1,527.71",,0.52%
2005/6/15,"1,529.49","1,533.90","1,535.43","1,510.82",,0.33%
2005/6/14,"1,524.42","1,529.02","1,534.15","1,520.88",,-0.31%
2005/6/13,"1,529.13","1,519.61","1,538.66","1,519.61",,0.53%
2005/6/10,"1,521.02","1,537.57","1,537.57","1,515.96",,-1.20%
2005/6/9,"1,539.46","1,526.15","1,542.75","1,520.61",,0.77%
2005/6/8,"1,527.68","1,536.92","1,538.24","1,524.13",,-0.22%
2005/6/7,"1,531.12","1,546.71","1,559.53","1,531.07",,-0.92%
2005/6/6,"1,545.27","1,544.96","1,548.55","1,539.57",,0.05%
2005/6/3,"1,544.48","1,565.48","1,566.14","1,542.05",,-1.56%
2005/6/2,"1,568.96","1,553.43","1,568.96","1,553.05",,0.61%
2005/6/1,"1,559.50","1,541.73","1,567.72","1,541.66",,1.09%
2005/5/31,"1,542.63","1,549.48","1,550.18","1,538.54",,-0.46%
2005/5/27,"1,549.80","1,546.74","1,551.03","1,541.76",,0.06%
2005/5/26,"1,548.80","1,540.05","1,551.12","1,539.74",,1.05%
2005/5/25,"1,532.71","1,535.90","1,535.39","1,524.41",,-0.50%
